Query,Date,user,Tweet,Img_present,Likes,commnets,retweet,tags,mentions,url_count,length,cosine_similarity(%)
netflix,3:00 am · 7 May 2020,kiandra | 18 |@itskianbby,Just saying #MiddleditchAndSchwartz is absolutely the funniest thing on Netflix right now and you need to watch it IMMEDIATELYGIF,1,,,,#MiddleditchAndSchwartz,,0,129,
netflix,2:55 am · 7 May 2020,Yoooooooooooo!@coldyay,Loved Michelle Obama’s new netflix documentary #BecomingGIF27,1,7,2,,#Becoming,,0,61,
netflix,2:53 am · 7 May 2020,biebwalker@TchemylyRibeiro,"Netflix nesse momento 

NETFLIX CADÊ TWD19",0,9,,1,,,0,42,
netflix,2:53 am · 7 May 2020,Loafer Grace@LoaferGrace,It be like that @netflix @NetflixIsAJoke,1,,,,,"@netflix,@NetflixIsAJoke",0,40,
netflix,2:38 am · 7 May 2020,lucas está desmaiado @tio_mutantei,comercial da Netflix na Globo2,0,2,,,,,0,30,
netflix,1:23 am · 7 May 2020,Irma@tangled30,"It’s Netflix night.
#MurderToMercy11",0,1,,1,#MurderToMercy,,0,36,
netflix,1:22 am · 7 May 2020,ONLINE | SPOTIFY @40@netflixspothub," NETFLIX PREMIUM FOR SALE 

FOR NETFLIX
For 1 Month Subscribtion
 Shared - 90 PHP
 Solo with warranty - 240 PHP

 Unli downloads
 No hold
 Gift Card Method ( if selected )
 Ultra HD1",0,1,,,,,0,182,
netflix,1:17 am · 7 May 2020,NAVARUSH @navaruushhh,Am just dreaming about this scene in HD  #ladoña2 Netflix porfavor do your thing 0:05116 views112,1,12,,1,#ladoña2,,0,97,
netflix,1:17 am · 7 May 2020,Blonded.@blondedocean,"Crack Rock and Godspeed appear on @MichelleObama’s Netflix documentary, “Becoming”142682.6K",1,2.6K,14,268,,@MichelleObama,0,91,
netflix,1:10 am · 7 May 2020,Felipe Rocha@felipenrocha201,"Replying to @SpiderVerseHere on Brazil we don't have Spider-Verse on Netflix, so we're going for the Blu-Ray!111",1,11,1,,,@SpiderVerse,0,112,
netflix,1:08 am · 7 May 2020,SACHATE@SACHATE9,elite is the best teen drama show on netflix.23,1,3,,2,,,0,47,
netflix,1:22 am · 7 May 2020,Proud Brown TACO@Woke1Tribe,#YR Everybody give First Lady Michelle Obama  (Mama) some Love and watch. Becoming Netflix.1,1,1,,,#YR,,0,92,
netflix,1:10 am · 7 May 2020,Thiago Dutra@TDVS131,Thanks @netflix for @LastDanceBulls! Missing #MichaelJordan and #scottpipen.1,0,1,,,"#MichaelJordan,#scottpipen","@netflix,@LastDanceBulls",0,77,
netflix,1:05 am · 7 May 2020,n e o n ネオン@kiingneon,"Anime vs Netflix Adaptation 

oh no...3",1,3,,,,,0,39,
netflix,1:05 am · 7 May 2020,Han@keentjus,netflix and cheat,1,,,,,,0,17,
netflix,12:59 am · 7 May 2020,(Stay tuned for another GIVEAWAY) Prems ni Julyana@premsnijulyana,"Netflix Premium Shared Account 

•Php 75 (2 for 70 each)
- 1 month
- Full Warranty
- Available in any devices

4 slots available (2-5)

Dm to avail 13",0,3,,1,,,0,150,
netflix,12:57 am · 7 May 2020,NETFLIX PREMIUM @netflixmoto,"Netflix Premium No Hold

Solo - 160 php
Shared - 100php

Any devices
Full warranty
101% no hold no restart
Ultra HD
Changeable Password

Dm for info",0,,,,,,0,148,
netflix,12:56 am · 7 May 2020,PREMIUM ACCS FOR SALE@EliOnlineShop,"1 MONTH NETFLIX ACCOUNT FOR SALE
SOLO ACCOUNT
PHP 260
Ultra HD
All Devices
Changeable Password
Renewable
4 Screens 5 Devices
No Hold

SHARED ACCOUNT
PHP 90
1 Profile (1 at a time use)
All Devices
Ultra HD

PAYMENT: gcash • globe load +

Dm me1214",0,14,,12,,,0,246,
netflix,12:32 am · 7 May 2020,NPR@NPR,"Michelle Obama speaks candidly in a compelling Netflix documentary, but avoids any direct criticism of political rivals — continuing to go high when others might consider going low.'Becoming' Offers A Revealing But Selective View Of Michelle ObamaFormer first lady Michelle Obama talks about everything from facing down racism to her fashion strategy in the new Netflix documentary based on her memoir: Becoming.npr.org63132955",1,955,63,132,,,2,427,
netflix,12:29 am · 7 May 2020,zile@ellisedelavega,"I Choose (From The Netflix Original Film The Willoughbys / Official Lyri... https://youtu.be/OCUe3dN64as via @YouTube #ichooseYou Alessia Cara - I Choose (From The Netflix Original Film The Willoug...I Choose: https://AlessiaCara.lnk.to/IChooseTheWilloughbys ""The Willoughbys"" Official Trailer: https://AlessiaCara.lnk.to/TheWilloughbysTrailer let's connect...youtube.com1",0,,,1,#ichooseYou,@YouTube,1,372,
netflix,12:22 am · 7 May 2020,dr8ke@dr8ke2,"Just finished watching for Extra Curricular, I'm totally obsessed by these two fellows and all the CHEMISTRY they had made. 

When I saw the ending I felt pretty like my avatar. Hope there will be season 2  PLEASE PLEASE PLEASE

#Extracurricular
#Netflix11",0,1,1,,"#Extracurricular,#Netflix",,0,256,
netflix,12:19 am · 7 May 2020,"ONLINE///NETFLIX FOR SALE,SOLO AND SHARED ACCOUNT@legitNETFLIX25"," Netflix Premium Ultra HD For Sale
NETFLIX SOLO ACCOUNT
 Good for 4 Device at the same time
 Full warranty
 Paid via Netflix Voucher (Legal)
 No hold

SHARED ACCOUNT
 Full Warranty
 1 Device Only
 No hold

MOP:
GCash/Palawan/Load

DM me!!",0,,,,,,0,238,
netflix,12:17 am · 7 May 2020,blondie wasabi@bIondiewasabi,coochie hair be growing back after 2 episodes of netflix132093.2K,0,3.2K,13,209,,,0,65,
netflix,12:13 am · 7 May 2020,Darren Criss is the fucking best baby :)!@smile_darren,The Netflix account is a mood.1,1,1,,,,,0,31,
netflix,12:11 am · 7 May 2020,CALI MENTALITY@calimentalityxx,"Currently surviving on comfy clothes & wine in our Knit Oversized jumper dress.
 Search ""Netflix & Chill""
#LinkInBio",1,,,,#LinkInBio,,0,116,
netflix,12:07 am · 7 May 2020,selegend glomez only fan ever@GayLiddoBitch,Damn Twitter is on one today. Some of you reeeeealy DONT know what to watch on Netflix anymore.1,1,1,,,,,0,96,
netflix,12:06 am · 7 May 2020,Lyle Troxell@lyle,"person: Does Netflix give a free subscription to employees?

me: No, but I do get a paycheck and with my money I pay for Netflix. 

person: oh, that totally sucks. 

me:GIF10558",1,58,10,5,,,0,177,
netflix,12:06 am · 7 May 2020,Körona § Katzz® @katzz77,#HowToEntertainYourselfAtHome Netflix and wine is all you need....28,0,8,,2,#HowToEntertainYourselfAtHome,,0,68,
netflix,11:56 pm · 6 May 2020,Izabela Patricia valente Pantoja Santana@Izavalent97,"Shadowhunters
Saveshadowhunters
#Netflix
#Freeform",1,,,,"#Netflix,#Freeform",,0,50,
netflix,11:51 pm · 6 May 2020,ig - surferbliss@surferbliss1,NETFLIX SHOWS TO BINGE1,0,,1,,,,0,23,
netflix,11:48 pm · 6 May 2020,ً@k9ushi,still thinking about how netflix doesnt have bsd season two,1,,,,,,0,59,
netflix,11:30 pm · 6 May 2020,Garrison Dunn@GSonDunn,"Hey @netflix @NetflixFilm if you’re ever tryna make a hockey version of All American or anything down those lines, hmu fam i’m your guy 2",0,2,,,,"@netflix,@NetflixFilm",0,137,
netflix,11:29 pm · 6 May 2020,netflix & spotify available ¦¦ ONLINE @unlipremiums,"SELLING NETFLIX PREMIUM ACCOUNTS 

1 month solo - 230 php
1 month shared - 100 php

 proof of transactions on my pinned tweet. 

 dm me to avail
mop : gcash, globe load (+35)

pricelist 1",0,,,1,,,0,187,
netflix,11:24 pm · 6 May 2020,Um Pedaço@pedacodepalha,Anime                             Netflix adaptation129109,1,109,1,29,,,0,58,
netflix,11:21 pm · 6 May 2020,shane@BeExcellent_,This is the exact same description netflix arent even trying to hide it,1,,,,,,0,71,
netflix,11:20 pm · 6 May 2020,Paris RENEW AWAE@AwaeParis,"YAY IM IN THE CLEAR HERE TO IM SO HAPPY!
Anyways back to spamming netflix and cbc
#renewannewithane119",0,19,,1,#renewannewithane,,0,102,
netflix,11:17 pm · 6 May 2020,Eman ღ@feraljaskier,Netflix finally realising how much we love Joey batey and finally releasing content we love to see it 735,0,35,,7,,,0,105,
