Query,username,created_at,verified,followers_count,friends_count,listed_count,tweet,date,Img_present,likes,comments,retweets,tags,mentions,sum_followers_mention,url_count
4 Years of FAN,"Melinda (Elek) Bajnai @MelindaTSQ·Oct 30, 2016",NA,0,0,0,0,"Over 5 years of being a fan and 4 years of editing for @thescript made me a little bit stronger, smarter and happier. Thank you, lads! 114","10:16 PM · Oct 30, 2016",0,14,0,1,,@thescript,2019110,0
4 Years of FAN,"Ranbir Kapoor Trends@RanbirTrends·Sep 13, 2016",NA,0,0,0,0,"The best actors of this generation with Fan
4 Years Of Classic Barfi115","4:51 PM · Sep 13, 2016",0,5,0,11,,,0,0
4 Years of FAN,"Rangers FC & Linfield FC@bluesbrothers86·Sep 10, 2016",NA,0,0,0,0,"""Your not Rangers anymore"", shouts a Celtic stand where 75% of their fans bought their first season tickets in 4 years 564142","12:23 PM · Sep 10, 2016",0,142,5,64,,,0,0
4 Years of FAN,"Rod Fergusson@RodFergusson·Sep 10, 2016",NA,0,0,0,0,5 years ago today I was celebrating Gears of War 3 with 2000 fans in Mexico City!  Gears 4 is so close. #28days2085377,"1:26 AM · Sep 10, 2016",1,377,20,85,#28days,,0,0
4 Years of FAN,"Laura White@Laurawhiteoffic·Aug 31, 2016",NA,0,0,0,0,"We Hit 47,000 Twitter followers tonight and 108,000 on Facebook! Wow.. 4 years of natural fan growingness I LOVE U1218","11:58 PM · Aug 31, 2016",1,18,1,2,,,0,0
4 Years of FAN,"_DavidMorrell@_DavidMorrell·Aug 30, 2016",NA,0,0,0,0,"""I've been a Morrell fan 4 years—RULER OF THE NIGHT is  as gripping as anything he's done.""~John Sandford
Due 11/15820","3:35 PM · Aug 30, 2016",1,20,0,8,,,0,0
4 Years of FAN,"Daddy from Brighton @bellyachestorm·Aug 26, 2016",NA,0,0,0,0,"After 4 years of pain the tide officially turns tomorrow.

Every @EssendonFC fan, I want to thank U for holding out
#DonTheSash
#ItIsOver1219","10:30 AM · Aug 26, 2016",0,19,1,2,"#DonTheSash,#ItIsOver",@EssendonFC,131413,0
4 Years of FAN,"jenna@jennawhalen·Aug 18, 2016",NA,0,0,0,0,"4 fucking years of supporting and being a fan and I finally got something I never thought I would get, never give up519119","4:33 AM · Aug 18, 2016",0,119,5,19,,,0,0
4 Years of FAN,"CLING @i_fngrl·Aug 17, 2016",NA,0,0,0,0,"15. It's been 4 years that I've been a fan of you, you have shown such passion for music and art. You inspired me so much. #Happy29GDay11813","1:45 PM · Aug 17, 2016",0,13,1,18,#Happy29GDay,,0,0
4 Years of FAN,"MissMalini@MissMalini·Aug 15, 2016",NA,0,0,0,0,".@deepikapadukone & @RanveerOfficial fans are celebrating 4 Years of DeepVeer with these adorable tweets -Deepika & Ranveer Fans Are Celebrating 4 Years Of DeepVeer With These Adorable TweetsOn 12th August, 2012, the media spotted Deepika Padukone and Ranveer Singh together for the first time. Their fans have been celebrating this “anniversary” every year since then, and this year, too,...missmalini.com686174","5:17 AM · Aug 15, 2016",1,174,6,86,,"@deepikapadukone,@RanveerOfficial",40906240,2
4 Years of FAN,"Ranveerians Worldwide@RanveeriansFC·Aug 14, 2016",NA,0,0,0,0,"[ Unseen VIDEO] 

A cute fan made video #Throwback Of Ranveer Singh and Deepika Padukone.

4 Years Of DeepVeer 1:00651 views26578","12:38 PM · Aug 14, 2016",1,78,2,65,#Throwback,,0,0
4 Years of FAN,"tee@itsteeweeee·Aug 13, 2016",NA,0,0,0,0,"It's been 4 years and I'm not okAy. I wasn't here all 4 years, that doesn't make me any less of a fan. So proud of em #4YearsOfOurSecondLife614","8:31 PM · Aug 13, 2016",0,14,0,6,#4YearsOfOurSecondLife,,0,0
4 Years of FAN,"Moh Haider@ArsenalMoh8·Aug 9, 2016",NA,0,0,0,0,"Replying to @ArsenalMoh8After years of mocking Arsenal's Top 4 record, even after breaking the transfer record Utd fans claiming Top 4 is the aim!

#FearThePressure225475","10:25 AM · Aug 9, 2016",0,75,22,54,#FearThePressure,@ArsenalMoh8,57093,0
4 Years of FAN,"Keely @EndlessListener·Jul 19, 2016",NA,0,0,0,0,Close to 4 years of being a fan and @BrandonCTE will always be my man crush 4,"3:13 AM · Jul 19, 2016",0,4,0,0,,@BrandonCTE,69654,0
4 Years of FAN,"THALA AJITH@ThalaAjith_Page·Jul 13, 2016",NA,0,0,0,0,"#Billa2 Dis Muv Changes Many Normal Fan To Die Hard #ThalaFan 

Agree ?

4 YEARS OF GLORIOUS BILLA244111","1:44 PM · Jul 13, 2016",0,111,0,44,"#Billa2,#ThalaFan",,0,0
