Query,Date,user,Tweet,Img_present,Likes,commnets,retweet,tags,mentions,url_count,length
MayThe4thBeWithYou,"11:46 AM · May 5, 2019",Justin Davenport@Bubbinski,Here's a shot of Saturn the ringed wonder from zero dark thirty on #MayThe4thBeWithYou2542,0,42,2,5,#MayThe4thBeWithYou,,0,90
MayThe4thBeWithYou,"11:45 AM · May 5, 2019",Justin Davenport@Bubbinski,Got done with my observations this morning. Also started processing pictures from yesterday May 4th. Here's Jupiter at zero dark thirty on #MayThe4thBeWithYou215,0,15,,2,#MayThe4thBeWithYou,,0,161
MayThe4thBeWithYou,"11:17 AM · May 5, 2019",Valentina- is on patreon@ValentinaFilic,"#maysketchaday • Day 04

Star Wars fan art - Tatooine Desert #MayThe4thBeWithYou
#art #digitalart #speedpainting #sketch #landscape2842",0,42,2,8,"#maysketchaday,#MayThe4thBeWithYou,#art,#digitalart,#speedpainting,#sketch,#landscape",,0,135
MayThe4thBeWithYou,"10:56 AM · May 5, 2019",James Floyd@jamesjawa,"Skellig Michael, home of Luke Skywalker #MayThe4thBeWithYou #WildAtlanticWay0:132.3K views12185",1,85,1,21,"#MayThe4thBeWithYou,#WildAtlanticWay",,0,95
MayThe4thBeWithYou,"10:47 AM · May 5, 2019",Valerie O'Sullivan@valphoto,#Maythe4thBeWithYou the view from St. Finan’s Bay looking out to Skellig Michael @wildatlanticway @Failte_Ireland festival @SkelligKerry542205,0,205,5,42,#Maythe4thBeWithYou,"@wildatlanticway,@Failte_Ireland,@SkelligKerry",0,142
MayThe4thBeWithYou,"10:12 AM · May 5, 2019",wildatlanticway | #StayAtHome@wildatlanticway,What a weekend we’re having so far at the May the 4th Be With You Festival! Check out some of our highlights from yesterday’s events and find out how you can get involved here  http://bit.ly/2PNXvAq #Maythe4thBeWithYou #WildAtlanticWay1950,0,50,,19,"#Maythe4thBeWithYou,#WildAtlanticWay",,1,239
MayThe4thBeWithYou,"10:05 AM · May 5, 2019",Amber Elby @AmberElby,"Every. Single. Year. 

Me: ""It's cool that all the neighbors are shooting off fireworks for #MayThe4thBeWithYou.""

Husband: ""They're celebrating #CincoDeMayo.""

Me: ""Oh, you're right. That makes a lot more sense.""2222",0,22,2,2,"#MayThe4thBeWithYou,#CincoDeMayo",,0,217
MayThe4thBeWithYou,"6:30 AM · May 5, 2019",c@cierragdavis,happy birthday to my hunk who started out the size of my hand. i never loved something so much until i met you my perfect little boy #1yearold #MayThe4thBeWithYou51,0,51,,,"#1yearold,#MayThe4thBeWithYou",,0,164
MayThe4thBeWithYou,"6:15 AM · May 5, 2019",Annie Cruz@AnnieFuckinCruz,#MayThe4thBeWithYou today...and everyday1820266,0,266,18,20,#MayThe4thBeWithYou,,0,47
MayThe4thBeWithYou,"6:14 AM · May 5, 2019",Shelby Mathews@Xeybhls,"May the 4th be with you.  Day 4: Star Wars. After the most recent Fast Pass Chapter this felt...necessary.
#loreolympus #usedbandaid #loreolympusfanart #fanart #minthe #starwars #maythe4thbewithyou #sith #crossover #photoshop #digitalart #drawing #sketch #doodle #xeybhls6144",0,144,,6,"#loreolympus,#usedbandaid,#loreolympusfanart,#fanart,#minthe,#starwars,#maythe4thbewithyou,#sith,#crossover,#photoshop,#digitalart,#drawing,#sketch,#doodle,#xeybhls",,0,275
MayThe4thBeWithYou,"5:59 AM · May 5, 2019",TheOneRing.net@theoneringnet,Reminder that Meriadoc Brandybuck himself @DomsWildThings is in Star Wars Episode IX #MayThe4thBeWithYou658,0,58,,6,#MayThe4thBeWithYou,@DomsWildThings,0,107
MayThe4thBeWithYou,"5:44 AM · May 5, 2019",OriginalTrilogy@OT_Autographs,"As #StarWarsDay comes to a close we remember all those who have now passed on but gave so much to #StarWars like our beloved crew members director #IrvinKershner & producer #GaryKurtz among many, many others. Thank you. #MayThe4thBeWithYou #starwarsautographs #OriginalTrilogy919",0,19,,9,"#StarWarsDay,#StarWars,#IrvinKershner,#GaryKurtz,#MayThe4thBeWithYou,#starwarsautographs,#OriginalTrilogy",,0,279
MayThe4thBeWithYou,"5:39 AM · May 5, 2019",The Nerd Rage Podcast@TheNerdRagePod,We hope you all had a comic filled #FreeComicBookDay and #Maythe4thBeWithYou all.31040,0,40,3,10,"#FreeComicBookDay,#Maythe4thBeWithYou",,0,86
MayThe4thBeWithYou,"5:33 AM · May 5, 2019",VooDoo Val@VooDoo_Val,Aaaand final Star Wars commish for the evening!!  LET THE WOOKIE WIN! #MayThe4thBeWithYou941,0,41,,9,#MayThe4thBeWithYou,,0,92
MayThe4thBeWithYou,"5:27 AM · May 5, 2019",OriginalTrilogy@OT_Autographs,As #StarWarsDay comes to a close we remember all those who have now passed on but gave so much to #StarWars like our beloved principal cast members #AlecGuinness #ObiWanKenobi & #PeterCushing #GrandMoffTarkin among others #MayThe4thBeWithYou #starwarsautographs #OriginalTrilogy1421,0,21,1,4,"#StarWarsDay,#StarWars,#AlecGuinness,#ObiWanKenobi,#PeterCushing,#GrandMoffTarkin,#MayThe4thBeWithYou,#starwarsautographs,#OriginalTrilogy",,0,282
MayThe4thBeWithYou,"5:24 AM · May 5, 2019", Skyhook Nova@SkyhookArt,"Once more, the Sith will rule the galaxy #KylooRen #soon #Maythe4thBeWithYou417285",0,285,4,17,"#KylooRen,#soon,#Maythe4thBeWithYou",,0,82
MayThe4thBeWithYou,"4:01 AM · May 5, 2019",Bryan Dechart: Human@BryanDechart,"I hope you all had a marvelous day, especially my fellow @StarWars fans!
#MayThe4thBeWithYou is always an awesome time to reflect on the incredible universe and the characters from a Galaxy Far, Far Away...

I've got to know, who are you Favorite 3 Star Wars characters?! and why?GIF5941534",1,534,59,41,#MayThe4thBeWithYou,@StarWars,0,290
MayThe4thBeWithYou,"4:00 AM · May 5, 2019",Trailhead@trailhead,Still time to score a May the 4th community badge? Chew betcha! Just earn any badge before 11:59pm PT to claim yours. C-3PO you on the trail! https://sforce.co/2HOyRyY #MayThe4thBeWithYou21461,0,61,2,14,#MayThe4thBeWithYou,,1,192
MayThe4thBeWithYou,"3:55 AM · May 5, 2019",Cat Cosplay@Cat_Cosplay,"Sorry for the delay in celebrating #MayThe4thBeWithYou. Ewoks got into our ducts and destroyed our communication relays.

#StarWarsDay354535",0,535,3,54,"#MayThe4thBeWithYou,#StarWarsDay",,0,140
MayThe4thBeWithYou,"3:48 AM · May 5, 2019",Intellectual Duck Web@pixelkitties,"One more, before the suns set on another May the 4th

#MayThe4thBeWithYou #StarWarsDay #MLPSeason91263264",0,264,12,63,"#MayThe4thBeWithYou,#StarWarsDay,#MLPSeason9",,0,105
MayThe4thBeWithYou,"3:47 AM · May 5, 2019",Nerdist@nerdist,One of the best fights in the Star Wars saga. Don’t @ us. #TheLastJedi #MayThe4thBeWithYouGIF3481529,1,529,34,81,"#TheLastJedi,#MayThe4thBeWithYou",,0,100
MayThe4thBeWithYou,"3:45 AM · May 5, 2019",Deborah Ann Woll@DeborahAnnWoll,"May the 4th Be with You! #maythe4thbewithyou
#ripcarriefisher131161.8K",0,1.8K,13,116,"#maythe4thbewithyou,#ripcarriefisher",,0,70
